,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,area_qual,hood_qual,year_qual,basement,fullar_qual,garage_square,base_ground
0,1,60,3,65.0,8450,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,196.0,2,4,2,2,3,3,2,706.0,5,0.0,150.0,856.0,1,0,1,4,856,854,0,1710,1.0,0.0,2,1,3,1,2,8,6,0,2,1,2003.0,1,2.0,548.0,4,4,2,0,61,0,0,0,0,0,2,2008,8,4,1124,97,14021,1712.0,59150,1712.0,1207260.0
1,2,20,3,80.0,9600,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,2,0.0,3,4,1,2,3,1,0,978.0,5,0.0,284.0,1262.0,1,0,1,4,1262,0,0,1262,0.0,1.0,2,0,3,1,3,6,6,1,4,1,1976.0,1,2.0,460.0,4,4,2,298,0,0,0,0,0,0,5,2007,8,4,356,76,11856,2524.0,57600,2524.0,1234236.0
2,3,60,3,68.0,11250,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,1,162.0,2,4,2,2,3,2,2,486.0,5,0.0,434.0,920.0,1,0,1,4,920,866,0,1786,1.0,0.0,2,1,3,1,2,6,6,1,4,1,2001.0,1,2.0,608.0,4,4,2,0,42,0,0,0,0,0,9,2008,8,4,1232,97,14007,1840.0,78750,1840.0,867996.0
3,4,70,3,60.0,9550,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,2,0.0,3,4,0,3,1,3,0,216.0,5,0.0,540.0,756.0,1,2,1,4,961,756,0,1717,1.0,0.0,1,0,3,1,2,7,6,1,2,5,1998.0,2,3.0,642.0,4,4,2,0,35,272,0,0,0,0,2,2006,8,0,1137,103,13405,2268.0,66850,2268.0,370872.0
4,5,60,3,84.0,14260,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,1,350.0,2,4,2,2,3,0,2,655.0,5,0.0,490.0,1145.0,1,0,1,4,1145,1053,0,2198,1.0,0.0,2,1,4,1,2,9,6,1,4,1,2000.0,1,3.0,836.0,4,4,2,192,84,0,0,0,0,0,12,2008,8,4,1595,27,16000,2290.0,114080,3435.0,1439690.0
5,6,50,3,85.0,14115,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,2,0.0,3,4,5,2,3,3,2,732.0,5,0.0,64.0,796.0,1,0,1,4,796,566,0,1362,1.0,0.0,1,1,1,1,3,5,6,0,2,1,1993.0,2,2.0,480.0,4,4,2,40,30,0,320,0,0,700,10,2009,8,4,522,8,9965,1592.0,70575,1592.0,996984.0
6,7,20,3,75.0,10084,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,3,186.0,2,4,2,0,3,0,2,1369.0,5,0.0,317.0,1686.0,1,0,1,4,1694,0,0,1694,1.0,0.0,2,0,3,1,2,7,6,1,2,1,2004.0,1,2.0,636.0,4,4,2,255,57,0,0,0,0,0,8,2007,8,4,1102,63,16032,0.0,80672,3372.0,2319086.0
7,8,60,3,69.30579531442663,10382,1,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,3,240.0,3,4,1,2,3,2,0,859.0,1,32.0,216.0,1107.0,1,0,1,4,1107,983,0,2090,1.0,0.0,2,1,3,1,3,7,6,2,4,1,1973.0,1,2.0,484.0,4,4,2,235,204,228,0,0,0,350,11,2009,8,4,1540,22,13811,2214.0,72674,2214.0,1795310.0
8,9,50,4,51.0,6120,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,2,0.0,3,4,0,3,3,3,5,0.0,5,0.0,952.0,952.0,1,2,1,1,1022,752,0,1774,0.0,0.0,2,0,2,2,3,8,2,2,4,5,1931.0,2,2.0,468.0,1,4,2,90,0,205,0,0,0,0,4,2008,8,0,1215,40,13517,2856.0,42840,1904.0,0.0
9,10,190,3,50.0,7420,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,2,0.0,3,4,0,3,3,3,2,851.0,5,0.0,140.0,991.0,1,0,1,4,1077,0,0,1077,1.0,0.0,1,0,2,2,3,5,6,2,4,1,1939.0,1,1.0,205.0,2,4,2,0,4,0,0,0,0,0,1,2008,8,4,93,86,9695,2973.0,37100,991.0,916527.0
10,11,20,3,70.0,11200,1,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,2,0.0,3,4,1,3,3,3,4,906.0,5,0.0,134.0,1040.0,1,0,1,4,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,6,0,2,5,1965.0,2,1.0,384.0,4,4,2,0,0,0,0,0,0,0,2,2008,8,4,46,49,9825,3120.0,56000,1040.0,942240.0
11,12,60,3,85.0,11924,1,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,14,15,3,286.0,0,4,2,0,3,3,2,998.0,5,0.0,177.0,1175.0,1,0,1,4,1182,1142,0,2324,1.0,0.0,3,0,4,1,0,11,6,2,2,3,2005.0,0,3.0,736.0,4,4,2,147,21,0,0,0,0,0,7,2006,6,5,1659,33,18045,0.0,107316,3525.0,2319352.0
12,13,20,3,69.30579531442663,12968,1,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,1,6,10,2,0.0,3,4,1,3,3,3,0,737.0,5,0.0,175.0,912.0,1,4,1,4,912,0,0,912,1.0,0.0,1,0,2,1,3,4,6,0,2,5,1962.0,2,1.0,352.0,4,4,2,140,0,0,0,176,0,0,9,2008,8,4,2004,49,9810,2736.0,64840,912.0,672144.0
13,14,20,3,91.0,10652,1,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,3,306.0,2,4,2,2,3,0,5,0.0,5,0.0,1494.0,1494.0,1,0,1,4,1494,0,0,1494,0.0,0.0,2,0,3,1,2,7,6,1,2,1,2006.0,1,3.0,840.0,4,4,2,160,33,0,0,0,0,0,8,2007,6,5,743,97,14042,2988.0,74564,4482.0,0.0
14,15,20,3,69.30579531442663,10920,1,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,1,8,8,1,212.0,3,4,1,3,3,3,1,733.0,5,0.0,520.0,1253.0,1,4,1,4,1253,0,0,1253,1.0,0.0,1,1,2,1,3,5,6,1,1,1,1960.0,1,1.0,352.0,4,4,2,0,213,176,0,0,0,0,5,2008,8,4,345,15,11760,3759.0,65520,1253.0,918449.0
15,16,45,4,51.0,6120,1,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,2,0.0,3,4,0,3,3,3,5,0.0,5,0.0,832.0,832.0,1,0,1,0,854,0,0,854,0.0,0.0,1,0,2,1,3,5,6,0,2,5,1991.0,2,2.0,576.0,4,4,2,48,112,0,0,0,0,0,7,2007,8,4,1947,88,13503,2496.0,42840,1664.0,0.0
16,17,20,3,69.30579531442663,11241,1,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,1,13,14,1,180.0,3,4,1,3,3,3,0,578.0,5,0.0,426.0,1004.0,1,0,1,4,1004,0,0,1004,1.0,0.0,1,0,2,1,3,5,6,1,4,1,1970.0,0,2.0,480.0,4,4,2,0,0,0,0,0,0,700,3,2010,8,4,4,15,11820,3012.0,67446,2008.0,580312.0
17,18,90,3,72.0,10791,1,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,2,0.0,3,4,3,3,3,3,5,0.0,5,0.0,0.0,0.0,1,4,1,4,1296,0,0,1296,0.0,0.0,2,0,2,2,3,6,6,0,2,4,1967.0,2,2.0,516.0,4,4,2,0,0,0,0,0,0,500,10,2006,8,4,403,48,7868,0.0,43164,0.0,0.0
18,19,20,3,66.0,13695,1,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,2,0.0,3,4,2,3,3,3,2,646.0,5,0.0,468.0,1114.0,1,0,1,4,1114,0,0,1114,1.0,0.0,1,1,3,1,2,6,6,0,2,5,2004.0,2,2.0,576.0,4,4,2,0,102,0,0,0,0,0,6,2008,8,4,143,55,10020,3342.0,68475,2228.0,719644.0
19,20,20,3,70.0,7560,1,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,2,0.0,3,4,1,3,3,3,3,504.0,5,0.0,525.0,1029.0,1,4,1,4,1339,0,0,1339,0.0,0.0,1,0,3,1,3,6,2,0,2,1,1958.0,2,1.0,294.0,4,4,2,0,0,0,0,0,0,0,5,2009,0,0,477,14,9790,3087.0,37800,1029.0,674856.0
20,21,60,3,101.0,14215,1,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,380.0,2,4,2,0,3,0,5,0.0,5,0.0,1158.0,1158.0,1,0,1,4,1158,1218,0,2376,0.0,0.0,3,1,4,1,2,9,6,1,2,3,2005.0,1,3.0,853.0,4,4,2,240,154,0,0,0,0,0,11,2006,6,5,1685,32,16040,0.0,113720,3474.0,0.0
21,22,45,4,57.0,7449,1,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,2,0.0,3,4,2,3,3,3,5,0.0,5,0.0,637.0,637.0,1,0,1,1,1108,0,0,1108,0.0,0.0,1,0,3,1,2,6,6,1,2,1,1930.0,2,1.0,280.0,4,4,0,0,0,205,0,0,0,0,6,2007,8,4,135,126,13510,1911.0,52143,637.0,0.0
22,23,20,3,75.0,9742,1,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,1,281.0,2,4,2,2,3,3,5,0.0,5,0.0,1777.0,1777.0,1,0,1,4,1795,0,0,1795,0.0,0.0,2,0,3,1,2,7,6,1,2,1,2002.0,1,2.0,534.0,4,4,2,171,159,0,0,0,0,0,9,2008,8,4,1247,98,16016,3554.0,77936,3554.0,0.0
23,24,120,4,44.0,4224,1,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,2,0.0,3,4,2,2,3,3,2,840.0,5,0.0,200.0,1040.0,1,4,1,4,1060,0,0,1060,1.0,0.0,1,0,3,1,3,6,6,1,4,1,1976.0,2,2.0,572.0,4,4,2,100,110,0,0,0,0,0,6,2007,8,4,74,3,9880,2080.0,21120,2080.0,890400.0
24,25,20,3,69.30579531442663,8246,1,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,2,0.0,3,2,1,3,3,2,4,188.0,0,668.0,204.0,1060.0,1,0,1,4,1060,0,0,1060,1.0,0.0,1,0,3,1,2,6,6,1,4,1,1968.0,2,1.0,270.0,4,4,2,406,90,0,0,0,0,0,5,2010,8,4,74,49,9840,3180.0,41230,1060.0,199280.0
25,26,20,3,110.0,14230,1,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,3,640.0,2,4,2,2,3,3,5,0.0,5,0.0,1566.0,1566.0,1,0,1,4,1600,0,0,1600,0.0,0.0,2,0,3,1,2,7,6,1,2,1,2007.0,1,3.0,890.0,4,4,2,0,56,0,0,0,0,0,7,2009,8,4,926,32,16056,3132.0,113840,4698.0,0.0
26,27,20,3,60.0,7200,1,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,2,0.0,3,4,1,3,3,2,1,234.0,4,486.0,180.0,900.0,1,4,1,4,900,0,0,900,0.0,1.0,1,0,3,1,2,5,6,0,2,5,2005.0,2,2.0,576.0,4,4,2,222,32,0,0,0,0,0,5,2010,8,4,1991,14,9755,2700.0,36000,1800.0,210600.0
27,28,20,3,98.0,11478,1,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,3,200.0,2,4,2,0,3,3,2,1218.0,5,0.0,486.0,1704.0,1,0,1,4,1704,0,0,1704,1.0,0.0,2,0,3,1,2,7,6,1,2,1,2008.0,1,3.0,772.0,4,4,2,0,50,0,0,0,0,0,5,2010,8,4,1116,32,16056,0.0,91824,5112.0,2075472.0
28,29,20,3,47.0,16321,1,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,2,0.0,3,4,1,3,3,1,1,1277.0,5,0.0,207.0,1484.0,1,4,1,4,1600,0,0,1600,1.0,0.0,1,0,2,1,3,6,6,2,2,1,1957.0,1,1.0,319.0,4,4,2,288,258,0,0,0,0,0,12,2006,8,4,924,14,9785,4452.0,81605,1484.0,2043200.0
29,30,30,4,60.0,6324,1,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,2,0.0,3,4,0,3,3,3,5,0.0,5,0.0,520.0,520.0,1,1,0,4,520,0,0,520,0.0,0.0,1,0,1,1,1,4,6,0,2,5,1920.0,2,1.0,240.0,1,4,2,49,0,87,0,0,0,0,5,2008,8,4,1860,85,7708,1560.0,25296,520.0,0.0
30,31,70,0,50.0,8500,1,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,2,0.0,3,1,0,3,3,3,5,0.0,5,0.0,649.0,649.0,1,4,0,4,649,668,0,1317,0.0,0.0,1,0,3,1,3,6,6,0,2,5,1920.0,2,1.0,250.0,4,1,0,0,54,172,0,0,0,0,7,2008,8,4,438,123,7680,1947.0,34000,649.0,0.0
31,32,20,3,69.30579531442663,8544,1,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,2,0.0,3,4,1,3,3,3,5,0.0,5,0.0,1228.0,1228.0,1,2,1,4,1228,0,0,1228,0.0,0.0,1,1,3,1,2,6,6,0,2,1,1966.0,2,1.0,271.0,4,4,2,0,65,0,0,0,0,0,6,2008,8,4,307,49,9830,3684.0,42720,1228.0,0.0
32,33,20,3,85.0,11049,1,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,2,0.0,2,4,2,0,3,0,5,0.0,5,0.0,1234.0,1234.0,1,0,1,4,1234,0,0,1234,0.0,0.0,2,0,3,1,2,7,6,0,2,1,2007.0,1,2.0,484.0,4,4,2,0,30,0,0,0,0,0,1,2008,8,4,318,98,16056,0.0,88392,2468.0,0.0
33,34,20,3,70.0,10552,1,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,2,0.0,3,4,1,3,3,3,4,1018.0,5,0.0,380.0,1398.0,1,2,1,4,1700,0,0,1700,0.0,1.0,1,1,4,1,2,6,6,1,2,1,1959.0,1,2.0,447.0,4,4,2,0,38,0,0,0,0,0,4,2010,8,4,1109,14,9795,4194.0,52760,2796.0,1730600.0
